Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.15,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.02284
0.15,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.02314
0.15,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.02276
0.15,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.02257
0.15,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.02279
0.15,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.02289
0.15,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.0229
0.15,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.02304
0.2,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.02075
0.2,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.02078
0.2,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.02041
0.2,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.02124
0.2,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.02124
0.2,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.02096
0.2,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.02092
0.2,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.02093
0.2,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.02059
0.2,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.02114
0.2,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.02118
0.2,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.02086
0.25,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.01959
0.25,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01956
0.25,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01925
0.25,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.02012
0.25,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.02012
0.25,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01977
0.25,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01974
0.25,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01974
0.25,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01906
0.25,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.02001
0.25,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.02002
0.25,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01968
0.3,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.01812
0.3,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01809
0.3,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01803
0.3,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.01866
0.3,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.01864
0.3,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01853
0.3,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01829
0.3,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01826
0.3,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01801
0.3,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.01856
0.3,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.01854
0.3,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01844
0.35,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.0168
0.35,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01676
0.35,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01677
0.35,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.01742
0.35,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.01734
0.35,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01729
0.35,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01698
0.35,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01695
0.35,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01688
0.35,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.01729
0.35,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.01714
0.35,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01712
0.4,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.01562
0.4,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01563
0.4,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01565
0.4,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.01626
0.4,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.01625
0.4,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01629
0.4,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01581
0.4,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01581
0.4,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01585
0.4,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.01615
0.4,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.01614
0.4,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01618
0.45,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.01414
0.45,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01405
0.45,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01404
0.45,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.01492
