Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.5,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,6,270.2866907
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,6,261.2823065
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,6,266.8821217
0.5,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,13.3,6,269.9066868
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.3,6,261.2603388
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,13.3,6,267.2241672
0.5,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,13.3,6,270.374142
0.05,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,4.21,6,66.19474821
0.05,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,4.21,6,66.37325517
0.05,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,4.21,6,66.50208584
0.05,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,4.21,6,66.10337792
0.05,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,4.21,6,66.32420147
0.05,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,4.21,6,66.44219904
0.05,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,4.21,6,66.17214484
0.05,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,4.21,6,66.35384996
0.05,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,4.21,6,66.47674307
0.05,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,4.21,6,66.12117094
0.05,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,4.21,6,66.32962785
0.05,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,4.21,6,66.44774339
0.1,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,5.95,6,67.05769349
0.1,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,5.95,6,67.3791017
0.1,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,5.95,6,67.62738483
0.1,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,5.95,6,66.97949594
0.1,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,5.95,6,67.2843563
0.1,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,5.95,6,67.5121922
0.1,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,5.95,6,67.02908047
0.1,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,5.95,6,67.34009467
0.1,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,5.95,6,67.58109676
0.1,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,5.95,6,66.98947707
0.1,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,5.95,6,67.2934658
0.1,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,5.95,6,67.52334643
0.15,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,7.29,6,67.55664527
0.15,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,7.29,6,67.95099505
0.15,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,7.29,6,68.24309555
0.15,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,7.29,6,67.48253716
0.15,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,7.29,6,67.8544343
0.15,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,7.29,6,68.13816586
0.15,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,7.29,6,67.52773079
0.15,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,7.29,6,67.91411139
0.15,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,7.29,6,68.20588421
0.15,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,7.29,6,67.49067674
0.15,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,7.29,6,67.86450719
0.15,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,7.29,6,68.15000166
