Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size, Composite Ultimate Strength (MPa)
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,4.21,1,6,66.1721
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,4.21,1,6,66.3538
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,4.21,1,6,66.4767
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,4.21,1,6,66.1212
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,4.21,1,6,66.3296
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,4.21,1,6,66.4477
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,5.95,1,6,67.0577
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,5.95,1,6,67.3791
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,5.95,1,6,67.6274
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,5.95,1,6,66.9795
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,5.95,1,6,67.2844
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,5.95,1,6,67.5122
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,5.95,1,6,67.0291
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,5.95,1,6,67.3401
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,5.95,1,6,67.5811
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,5.95,1,6,66.9895
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,5.95,1,6,67.2935
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,5.95,1,6,67.5233
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,7.29,1,6,67.5566
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,7.29,1,6,67.9510
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,7.29,1,6,68.2431
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,7.29,1,6,67.4825
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,7.29,1,6,67.8544
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,7.29,1,6,68.1382
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,7.29,1,6,67.5277
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,7.29,1,6,67.9141
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,7.29,1,6,68.2059
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,7.29,1,6,67.4907
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,7.29,1,6,67.8645
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,7.29,1,6,68.1500
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,8.4,1,6,69.1287
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,8.4,1,6,69.8041
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,8.4,1,6,70.2821
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,8.4,1,6,69.0438
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,8.4,1,6,69.7091
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,8.4,1,6,70.1902
