Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Yield Strength (Mpa)
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,4.21,1,6,61.8870
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,4.21,1,6,62.8830
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,4.21,1,6,62.5650
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,4.21,1,6,62.1450
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,4.21,1,6,62.5420
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,4.21,1,6,61.6990
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,4.21,1,6,60.5750
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,5.95,1,6,61.7330
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,5.95,1,6,61.7630
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,5.95,1,6,60.8470
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,5.95,1,6,61.5170
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,5.95,1,6,61.5150
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,5.95,1,6,60.3650
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,5.95,1,6,61.7620
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,5.95,1,6,61.1150
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,5.95,1,6,61.6950
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,5.95,1,6,61.5450
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,5.95,1,6,61.5590
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,5.95,1,6,60.4470
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,7.29,1,6,60.3150
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,7.29,1,6,60.1890
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,7.29,1,6,60.3550
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,7.29,1,6,60.3170
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,7.29,1,6,59.6550
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,7.29,1,6,60.5030
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,7.29,1,6,60.3460
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,7.29,1,6,59.8080
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,7.29,1,6,60.4420
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,7.29,1,6,60.3250
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,7.29,1,6,60.0820
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,7.29,1,6,60.4850
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,8.4,1,6,61.3550
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,8.4,1,6,61.4520
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,8.4,1,6,60.2480
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,8.4,1,6,61.3470
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,8.4,1,6,61.3520
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,8.4,1,6,60.5090
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,8.4,1,6,61.3650
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,8.4,1,6,61.4000
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,8.4,1,6,60.3270
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,8.4,1,6,61.3450
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,8.4,1,6,61.4620
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,8.4,1,6,60.4450
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,9.41,1,6,65.0750
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,9.41,1,6,64.9650
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,9.41,1,6,63.8150
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,9.41,1,6,65.0150
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,9.41,1,6,65.0100
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,9.41,1,6,63.8090
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,9.41,1,6,65.0350
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,9.41,1,6,64.9820
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,9.41,1,6,62.4650
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,9.41,1,6,65.0120
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,9.41,1,6,65.0080
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,9.41,1,6,63.8000
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,10.3,1,6,65.4080
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,10.3,1,6,65.3420
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,10.3,1,6,65.0670
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,10.3,1,6,65.3630
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,10.3,1,6,65.2450
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,10.3,1,6,64.8280
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,10.3,1,6,65.3750
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,10.3,1,6,65.2850
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,10.3,1,6,64.2450
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,10.3,1,6,65.3850
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,10.3,1,6,65.2620
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,10.3,1,6,64.8580
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.13,1,6,71.6250
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.13,1,6,71.5000
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.13,1,6,71.5250
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.13,1,6,71.4680
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.13,1,6,71.1520
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.13,1,6,70.9520
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.13,1,6,71.5350
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.13,1,6,71.3450
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.13,1,6,71.0040
