Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Composite Elastic Modulus
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,12.62,1,8933.9141
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,12.62,1,8933.9141
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,12.62,1,8933.9147
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,12.62,1,8208.0485
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,12.62,1,8208.0485
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,12.62,1,8208.0485
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,12.62,1,8698.3934
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,12.62,1,8698.3934
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,12.62,1,8698.3932
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,12.62,1,8331.2856
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,12.62,1,8331.2856
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,12.62,1,8331.2858
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.3,1,9974.4816
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.2,13.3,1,9974.4816
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.3,13.3,1,9974.4813
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.3,1,9010.8474
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.2,13.3,1,9010.8474
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.3,13.3,1,9010.8479
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.3,1,9680.6391
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.2,13.3,1,9680.6391
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.3,13.3,1,9680.6389
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.3,1,9170.073
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.2,13.3,1,9170.073
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.3,13.3,1,9170.0732
0.05,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,10.98,2,2980.4062
0.05,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,10.98,2,2960.4394
0.05,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,10.98,2,2974.4477
0.05,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,10.98,2,2963.7765
0.1,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,13.85,2,3384.59
0.1,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,13.85,2,3338.3691
0.1,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,13.85,2,3370.7776
0.1,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,13.85,2,3346.529
0.15,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,15.84,2,3805.7158
0.15,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,15.84,2,3730.777
0.15,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,15.84,2,3783.5643
0.15,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,15.84,2,3743.9993
0.2,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,17.44,2,4639.2243
0.2,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,17.44,2,4415.7066
0.2,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,17.44,2,4573.5395
0.2,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,17.44,2,4449.6821
0.25,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,18.79,2,5212.4847
0.25,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,18.79,2,4965.4691
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,18.79,2,5140.3784
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,18.79,2,5007.0825
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,19.96,2,6433.2451
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,19.96,2,5883.2296
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,19.96,2,6274.2364
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,19.96,2,5965.438
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.02,2,7137.242
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.02,2,6592.6405
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.02,2,6978.6822
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.02,2,6681.5669
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.98,2,8551.9866
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.98,2,7744.2423
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.98,2,8316.5014
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.98,2,7874.0292
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,22.86,2,11141.5499
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,22.86,2,9537.1598
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,22.86,2,10673.7349
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,22.86,2,9773.7081
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,23.67,2,15350.4933
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,23.67,2,12081.0111
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,23.67,2,14294.4082
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,23.67,2,12498.6327
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,4.21,1,2368.2641
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,4.21,1,2368.2641
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,4.21,1,2368.2642
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,4.21,1,2308.1034
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,4.21,1,2308.1034
