Volume Fraction,Matrix Density ,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature ,Fiber Density,Fiber Elastic Modulus 1,Fiber Elastic Modulus 2,Fiber Elastic Modulus 3,Fiber Poisson 1,Fiber Poisson 2,Fiber Poisson 3,Fiber Shear 1,Fiber Shear 2,Fiber Shear 3,Composite Toughness
0.26,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.194672548
0.27,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.241152394
0.28,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.114654194
0.29,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,5.02195985
0.3,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.97648078
0.31,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.943402328
0.32,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.837678556
0.33,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.853764136
0.34,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.83194061
0.35,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.661214064
0.36,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.67984872
0.37,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.584175094
0.38,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.569853836
0.39,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.481980014
0.4,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.403439926
0.41,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.40682606
0.42,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.340079432
0.43,1490,2542.372881,0.38,106.557377,0.444529483,298,1770,220000,14000,14000,0.2,0.2,0.25,9000,9000,4600,4.239679994
