Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Elastic Modulus (MPa)
0.25,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,18.79,2,6,5140.3784
0.25,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,18.79,2,6,5007.0825
0.3,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,19.96,2,6,6433.2451
0.3,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,19.96,2,6,5883.2296
0.3,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,19.96,2,6,6274.2364
0.3,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,19.96,2,6,5965.4380
0.35,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.02,2,6,7137.2420
0.35,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.02,2,6,6592.6405
0.35,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.02,2,6,6978.6822
0.35,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.02,2,6,6681.5669
0.4,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,21.98,2,6,8551.9866
0.4,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,21.98,2,6,7744.2423
0.4,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,21.98,2,6,8316.5014
0.4,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,21.98,2,6,7874.0292
0.45,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,22.86,2,6,11141.5499
0.45,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,22.86,2,6,9537.1598
0.45,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,22.86,2,6,10673.7349
0.45,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,22.86,2,6,9773.7081
0.5,1,1,1490,2662.557781,0.38,149.590164,1770,220000,0.2,0.1,23.67,2,6,15350.4933
0.5,1,2,1490,2662.557781,0.38,149.590164,2540,75000,0.22,0.1,23.67,2,6,12081.0111
0.5,1,3,1490,2662.557781,0.38,149.590164,1470,150000,0.35,0.1,23.67,2,6,14294.4082
0.5,1,4,1490,2662.557781,0.38,149.590164,2530,85000,0.21,0.1,23.67,2,6,12498.6327
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,4.21,1,6,2368.2641
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,4.21,1,6,2368.2641
0.05,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,4.21,1,6,2368.2642
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,4.21,1,6,2308.1034
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,4.21,1,6,2308.1034
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,4.21,1,6,2308.1034
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,4.21,1,6,2347.7635
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,4.21,1,6,2347.7635
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,4.21,1,6,2347.7634
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,4.21,1,6,2317.0481
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,4.21,1,6,2317.0481
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,4.21,1,6,2317.0482
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,5.95,1,6,2615.5563
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,5.95,1,6,2615.5563
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,5.95,1,6,2615.5562
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,5.95,1,6,2557.4510
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,5.95,1,6,2557.4510
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,5.95,1,6,2557.4511
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,5.95,1,6,2595.9000
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,5.95,1,6,2595.9000
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,5.95,1,6,2595.9000
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,5.95,1,6,2567.1216
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,5.95,1,6,2567.1216
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,5.95,1,6,2567.1218
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,7.29,1,6,2930.3269
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,7.29,1,6,2930.3269
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,7.29,1,6,2930.3269
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,7.29,1,6,2863.2980
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,7.29,1,6,2863.2980
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,7.29,1,6,2863.2978
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,7.29,1,6,2907.5171
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,7.29,1,6,2907.5171
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,7.29,1,6,2907.5173
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,7.29,1,6,2874.9765
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,7.29,1,6,2874.9765
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,7.29,1,6,2874.9765
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,8.4,1,6,3272.9373
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,8.4,1,6,3272.9373
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,8.4,1,6,3272.9371
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,8.4,1,6,3190.1853
